Pergunta,Resposta Adequada
Qual é a função da córnea?,"A função da córnea, em conjunto com o cristalino, é focar a luz através da pupila até a retina, funcionando como um conjunto de lentes."
Quantas camadas compõem a estrutura da córnea?,"A córnea é composta por seis camadas: Epitélio, Membrana de Bowman, Estroma, Camada de Dua, Membrana de Descemet e Endotélio."
O que ocorre quando a córnea apresenta alguma anomalia?,"Quando a córnea apresenta alguma anomalia, ocorre distorção da luz, resultando em embaçamento da visão."
Para que serve a córnea?,"A córnea serve para permitir a entrada de luz nos olhos e, junto ao cristalino, focar essa luz na retina, formando as imagens que enxergamos."
Quais são as camadas da córnea?,"As camadas da córnea são, de fora para dentro: Epitélio, Membrana de Bowman, Estroma, Camada de Dua, Membrana de Descemet e Endotélio."
O que acontece com a visão quando a córnea tem uma anomalia?,"Quando a córnea apresenta uma anomalia, a visão se torna embaçada devido à distorção da luz."
De onde vêm as córneas doadas para transplante?,oda córnea doada vem dos Bancos de Olhos espalhados pelo estado de São Paulo.
Como é organizada a fila para o recebimento de córneas?,"A fila é organizada pelo Sistema Estadual de Transplantes, sendo única para pacientes particulares, conveniados e do Sistema Único de Saúde (SUS)."
Qual é o papel do HOA no processo de transplante de córnea?,"O HOA, por ser um hospital credenciado pelo Ministério da Saúde, acessa a fila de inscrição do estado de São Paulo e cadastra seus pacientes"
Qual é o tempo médio de espera para um transplante de córnea?,O tempo de espera para um transplante de córnea leva em média de 60 a 120 dias.
Quantas ofertas de córnea um paciente pode receber?,Cada paciente a ser transplantado pode receber até 05 ofertas de córnea.
Quais são as principais indicações para transplante de córnea?,As duas principais causas cirúrgicas para transplante de córnea são o ceratocone e a ceratopatia bolhosa.
O que é o ceratocone e por que leva ao transplante de córnea?,O ceratocone é uma doença que atinge jovens e leva ao transplante devido a um aumento acentuado da curvatura corneana
Qual é a segunda principal causa de transplante de córnea?,"A segunda principal causa é a ceratopatia bolhosa, que pode ser do tipo pseudofácica ou por distrofia endotelial de Fuchs."
Quem costuma ser afetado pela ceratopatia bolhosa?,"A ceratopatia bolhosa costuma afetar pessoas mais idosas, causando inchaço na córnea pela perda das células endoteliais."
Quem pode realizar um transplante de córnea?,O transplante de córnea só pode ser feito por médicos especializados e devidamente credenciados no Ministério da Saúde e nos principais órgãos de medicina e oftalmologia.
Quais são os requisitos para médicos que realizam transplantes de córnea?,Os médicos que realizam transplantes de córnea devem ser especializados e credenciados pelo Ministério da Saúde e pelos principais órgãos de medicina e oftalmologia.
É possível realizar um transplante de córnea sem credenciamento adequado?,"Não, o transplante de córnea só pode ser realizado por médicos que são especializados e credenciados."
Quais são os tipos de transplantes lamelares de córnea?,Existem dois tipos de transplantes lamelares: DALK (Deep Anterior Lamellar Keratoplasty) e DMEK (Descemet Membrane Endothelial Keratoplasty).
O que caracteriza o transplante DALK?,"O transplante DALK preserva a membrana de Descemet e as células endoteliais, substituindo todas as outras camadas. É usado no ceratocone e diminui a probabilidade de rejeição."
Para que condições o transplante DMEK é mais utilizado?,O transplante DMEK é muito usado na ceratopatia bolhosa do pseudofácico e na distrofia endotelial de Fuchs
Qual é a principal vantagem do transplante DMEK em relação ao transplante penetrante convencional?,"A principal vantagem do DMEK é que não necessita de pontos, resultando em uma recuperação muito mais rápida e confortável."
O HOA Funciona de sábado domingo ou feriados?,"Não, o HOA funciona de Segunda a Sexta das 8h às 18h"
Qual horario o HOA funciona de sábado?,"O HOA não funciona de Sábado, somente de Segunda a Sexta das 8h às 18h"
Quais médicos atendem no HOA?,"Dr. Fernando Paganelli, Dr. Henrique Scabello, Dra. Nicole Silva Beato Zbeidi, Dr. Ramon Angelo Ruivo Carazzatto, Dra. Viviane Colombari Pinto"
"O que é HOA?","HOA é um Hospital Oftalmológico localizado em Araraquara, São Paulo."
"O que caracteriza o HOA?","O HOA é um centro médico voltado para oftalmologia, estabelecido em Araraquara, no estado de São Paulo."
"Qual é o propósito do HOA?","O HOA funciona como um hospital especializado em saúde ocular, localizado na cidade de Araraquara, São Paulo."
"O que define o HOA como instituição?","O HOA é uma unidade hospitalar dedicada ao cuidado dos olhos, situada em Araraquara, no interior de São Paulo."
"De que se trata o HOA?","O HOA trata-se de um hospital oftalmológico que opera em Araraquara, na região de São Paulo."
